"","age_group","cumulative","date","incidence"
"1","<5",74,2020-04-17,1
"2","5-14",322,2020-04-17,1
"3","15-24",1360,2020-04-17,9
"4","25-34",2005,2020-04-17,8
"5","35-44",2032,2020-04-17,7
"6","45-54",3053,2020-04-17,17
"7","55-64",2450,2020-04-17,9
"8","65-74",1297,2020-04-17,10
"9","75-84",1211,2020-04-17,6
"10",">84",758,2020-04-17,18
"11","<5",77,2020-04-18,3
"12","5-14",323,2020-04-18,1
"13","15-24",1366,2020-04-18,6
"14","25-34",2017,2020-04-18,12
"15","35-44",2043,2020-04-18,11
"16","45-54",3074,2020-04-18,21
"17","55-64",2466,2020-04-18,16
"18","65-74",1305,2020-04-18,8
"19","75-84",1218,2020-04-18,7
"20",">84",773,2020-04-18,15
"21","<5",77,2020-04-19,0
"22","5-14",324,2020-04-19,1
"23","15-24",1365,2020-04-19,-1
"24","25-34",2022,2020-04-19,5
"25","35-44",2049,2020-04-19,6
"26","45-54",3084,2020-04-19,10
"27","55-64",2473,2020-04-19,7
"28","65-74",1313,2020-04-19,8
"29","75-84",1224,2020-04-19,6
"30",">84",779,2020-04-19,6
"31","<5",77,2020-04-20,0
"32","5-14",326,2020-04-20,2
"33","15-24",1370,2020-04-20,5
"34","25-34",2031,2020-04-20,9
"35","35-44",2060,2020-04-20,11
"36","45-54",3096,2020-04-20,12
"37","55-64",2485,2020-04-20,12
"38","65-74",1317,2020-04-20,4
"39","75-84",1232,2020-04-20,8
"40",">84",786,2020-04-20,7
"41","<5",77,2020-04-21,0
"42","5-14",328,2020-04-21,2
"43","15-24",1374,2020-04-21,4
"44","25-34",2038,2020-04-21,7
"45","35-44",2063,2020-04-21,3
"46","45-54",3101,2020-04-21,5
"47","55-64",2494,2020-04-21,9
"48","65-74",1324,2020-04-21,7
"49","75-84",1240,2020-04-21,8
"50",">84",794,2020-04-21,8
"51","<5",78,2020-04-22,1
"52","5-14",329,2020-04-22,1
"53","15-24",1383,2020-04-22,9
"54","25-34",2059,2020-04-22,21
"55","35-44",2076,2020-04-22,13
"56","45-54",3113,2020-04-22,12
"57","55-64",2509,2020-04-22,15
